season,date,home_team,home_total,away_team,away_total,mp,home_fg,home_fga,home_fg%,home_3p,home_3pa,home_3p%,home_ft,home_fta,home_ft%,home_orb,home_drb,home_trb,home_ast,home_stl,home_blk,home_tov,home_pf,home_pts,home_+/-,home_ts%,home_efg%,home_3par,home_ftr,home_orb%,home_drb%,home_trb%,home_ast%,home_stl%,home_blk%,home_tov%,home_usg%,home_ortg,home_drtg,away_fg,away_fga,away_fg%,away_3p,away_3pa,away_3p%,away_ft,away_fta,away_ft%,away_orb,away_drb,away_trb,away_ast,away_stl,away_blk,away_tov,away_pf,away_pts,away_+/-,away_ts%,away_efg%,away_3par,away_ftr,away_orb%,away_drb%,away_trb%,away_ast%,away_stl%,away_blk%,away_tov%,away_usg%,away_ortg,away_drtg,home_won
2023,2022-10-20,MIL,90,PHI,88,240,34,84,0.405,13,42,0.31,9,14,0.643,7,41,48,24,4,6,14,16,90,,0.499,0.482,0.5,0.167,15.6,87.2,52.2,70.6,4.3,10.2,13.4,100,96.2,94.1,36,83,0.434,5,24,0.208,11,13,0.846,6,38,44,17,6,5,10,14,88,,0.496,0.464,0.289,0.157,12.8,84.4,47.8,47.2,6.5,11.9,10.1,100,95.1,97.3,True
2023,2022-10-20,PHI,88,MIL,90,240,36,83,0.434,5,24,0.208,11,13,0.846,6,38,44,17,6,5,10,14,88,,0.496,0.464,0.289,0.157,12.8,84.4,47.8,47.2,6.5,11.9,10.1,100,95.1,97.3,34,84,0.405,13,42,0.31,9,14,0.643,7,41,48,24,4,6,14,16,90,,0.499,0.482,0.5,0.167,15.6,87.2,52.2,70.6,4.3,10.2,13.4,100,96.2,94.1,False
2023,2022-10-20,LAL,97,LAC,103,240,33,94,0.351,9,45,0.2,22,26,0.846,8,30,38,23,13,5,10,24,97,,0.46,0.399,0.479,0.277,14.3,75.0,39.6,69.7,12.5,9.8,8.7,100,93.3,99.1,37,80,0.463,9,29,0.31,20,31,0.645,10,48,58,18,7,7,23,24,103,,0.55,0.519,0.363,0.388,25.0,85.7,60.4,48.6,6.7,14.3,19.7,100,98.6,92.8,False
2023,2022-10-20,LAC,103,LAL,97,240,37,80,0.463,9,29,0.31,20,31,0.645,10,48,58,18,7,7,23,24,103,,0.55,0.519,0.363,0.388,25.0,85.7,60.4,48.6,6.7,14.3,19.7,100,98.6,92.8,33,94,0.351,9,45,0.2,22,26,0.846,8,30,38,23,13,5,10,24,97,,0.46,0.399,0.479,0.277,14.3,75.0,39.6,69.7,12.5,9.8,8.7,100,93.3,99.1,True
2023,2022-10-21,SAS,137,IND,134,240,44,81,0.543,17,31,0.548,32,44,0.727,7,30,37,34,9,4,17,22,137,,0.683,0.648,0.383,0.543,20.0,68.2,46.8,77.3,8.2,5.8,14.5,100,125.4,122.7,51,104,0.49,11,35,0.314,21,22,0.955,14,28,42,32,8,6,16,34,134,,0.589,0.543,0.337,0.212,31.8,80.0,53.2,62.7,7.3,12.0,12.3,100,122.7,125.4,True
2023,2022-10-21,TOR,105,BRK,109,240,41,84,0.488,11,28,0.393,12,18,0.667,8,33,41,25,9,4,15,21,105,,0.571,0.554,0.333,0.214,20.5,71.7,48.2,61.0,9.5,8.9,14.0,100,111.3,115.6,38,80,0.475,13,35,0.371,20,29,0.69,13,31,44,26,3,13,13,19,109,,0.588,0.556,0.438,0.363,28.3,79.5,51.8,68.4,3.2,23.2,12.3,100,116.8,112.5,False
2023,2022-10-21,BRK,109,TOR,105,240,38,80,0.475,13,35,0.371,20,29,0.69,13,31,44,26,3,13,13,19,109,,0.588,0.556,0.438,0.363,28.3,79.5,51.8,68.4,3.2,23.2,12.3,100,116.8,112.5,41,84,0.488,11,28,0.393,12,18,0.667,8,33,41,25,9,4,15,21,105,,0.571,0.554,0.333,0.214,20.5,71.7,48.2,61.0,9.5,8.9,14.0,100,111.3,115.6,True
2023,2022-10-21,NOP,124,CHO,112,240,42,89,0.472,8,22,0.364,32,37,0.865,15,38,53,23,9,7,16,14,124,,0.589,0.517,0.247,0.416,36.6,77.6,58.9,54.8,8.8,11.1,13.2,100,121.4,109.7,44,97,0.454,13,34,0.382,11,14,0.786,11,26,37,30,9,4,14,24,112,,0.543,0.521,0.351,0.144,22.4,63.4,41.1,68.2,8.8,6.0,11.9,100,109.7,121.4,True
2023,2022-10-21,MEM,129,HOU,122,240,45,98,0.459,19,42,0.452,20,29,0.69,17,33,50,26,8,10,12,21,129,,0.582,0.556,0.429,0.296,34.7,71.7,52.6,57.8,7.8,17.2,9.8,100,125.2,118.4,44,93,0.473,16,35,0.457,18,30,0.6,13,32,45,18,4,6,14,22,122,,0.574,0.559,0.376,0.323,28.3,65.3,47.4,40.9,3.9,10.7,11.6,100,118.4,125.2,True
2023,2022-10-21,POR,113,PHO,111,265,36,82,0.439,10,29,0.345,31,36,0.861,13,35,48,14,8,5,21,19,113,,0.577,0.5,0.354,0.439,28.9,79.5,53.9,38.9,7.6,7.5,17.7,100,107.4,105.5,43,94,0.457,10,27,0.37,15,21,0.714,9,32,41,31,14,1,17,29,111,,0.538,0.511,0.287,0.223,20.5,71.1,46.1,72.1,13.4,1.9,14.1,100,106.5,108.4,True
2023,2022-10-21,HOU,122,MEM,129,240,44,93,0.473,16,35,0.457,18,30,0.6,13,32,45,18,4,6,14,22,122,,0.574,0.559,0.376,0.323,28.3,65.3,47.4,40.9,3.9,10.7,11.6,100,118.4,125.2,45,98,0.459,19,42,0.452,20,29,0.69,17,33,50,26,8,10,12,21,129,,0.582,0.556,0.429,0.296,34.7,71.7,52.6,57.8,7.8,17.2,9.8,100,125.2,118.4,False
2023,2022-10-21,ATL,108,ORL,98,240,40,89,0.449,13,31,0.419,15,16,0.938,9,37,46,26,10,2,17,22,108,,0.562,0.522,0.348,0.18,20.9,78.7,51.1,65.0,9.9,4.3,15.0,100,107.1,97.2,33,80,0.413,8,34,0.235,24,30,0.8,10,34,44,16,9,7,19,19,98,,0.526,0.463,0.425,0.375,21.3,79.1,48.9,48.5,8.9,12.1,16.9,100,97.2,107.1,True
2023,2022-10-21,UTA,132,MIN,126,265,49,111,0.441,20,50,0.4,14,21,0.667,19,35,54,39,11,8,13,23,132,,0.549,0.532,0.45,0.189,32.8,62.5,47.4,79.6,9.8,10.8,9.8,100,118.1,112.7,49,107,0.458,11,33,0.333,17,23,0.739,21,39,60,20,5,7,20,22,126,,0.538,0.509,0.308,0.215,37.5,67.2,52.6,40.8,4.5,11.5,14.6,100,112.7,118.1,True
2023,2022-10-21,IND,134,SAS,137,240,51,104,0.49,11,35,0.314,21,22,0.955,14,28,42,32,8,6,16,34,134,,0.589,0.543,0.337,0.212,31.8,80.0,53.2,62.7,7.3,12.0,12.3,100,122.7,125.4,44,81,0.543,17,31,0.548,32,44,0.727,7,30,37,34,9,4,17,22,137,,0.683,0.648,0.383,0.543,20.0,68.2,46.8,77.3,8.2,5.8,14.5,100,125.4,122.7,False
2023,2022-10-21,PHO,111,POR,113,265,43,94,0.457,10,27,0.37,15,21,0.714,9,32,41,31,14,1,17,29,111,,0.538,0.511,0.287,0.223,20.5,71.1,46.1,72.1,13.4,1.9,14.1,100,106.5,108.4,36,82,0.439,10,29,0.345,31,36,0.861,13,35,48,14,8,5,21,19,113,,0.577,0.5,0.354,0.439,28.9,79.5,53.9,38.9,7.6,7.5,17.7,100,107.4,105.5,False
2023,2022-10-21,MIN,126,UTA,132,265,49,107,0.458,11,33,0.333,17,23,0.739,21,39,60,20,5,7,20,22,126,,0.538,0.509,0.308,0.215,37.5,67.2,52.6,40.8,4.5,11.5,14.6,100,112.7,118.1,49,111,0.441,20,50,0.4,14,21,0.667,19,35,54,39,11,8,13,23,132,,0.549,0.532,0.45,0.189,32.8,62.5,47.4,79.6,9.8,10.8,9.8,100,118.1,112.7,False
2023,2022-10-21,WAS,102,CHI,100,240,41,80,0.513,10,26,0.385,10,11,0.909,5,34,39,26,8,8,17,22,102,,0.601,0.575,0.325,0.138,15.2,77.3,50.6,63.4,8.5,15.4,16.7,100,107.9,105.8,33,79,0.418,7,27,0.259,27,33,0.818,10,28,38,19,8,3,13,15,100,,0.535,0.462,0.342,0.418,22.7,84.8,49.4,57.6,8.5,5.6,12.2,100,106.3,108.5,True
2023,2022-10-21,ORL,98,ATL,108,240,33,80,0.413,8,34,0.235,24,30,0.8,10,34,44,16,9,7,19,19,98,,0.526,0.463,0.425,0.375,21.3,79.1,48.9,48.5,8.9,12.1,16.9,100,97.2,107.1,40,89,0.449,13,31,0.419,15,16,0.938,9,37,46,26,10,2,17,22,108,,0.562,0.522,0.348,0.18,20.9,78.7,51.1,65.0,9.9,4.3,15.0,100,107.1,97.2,False
2023,2022-10-21,GSW,123,DEN,128,240,42,88,0.477,15,44,0.341,24,27,0.889,7,28,35,34,10,3,19,23,123,,0.616,0.563,0.5,0.307,19.4,70.0,46.1,81.0,9.5,5.8,16.0,100,116.4,121.1,46,86,0.535,15,34,0.441,21,25,0.84,12,29,41,30,10,2,20,22,128,,0.66,0.622,0.395,0.291,30.0,80.6,53.9,65.2,9.5,4.5,17.1,100,121.7,116.9,False
2023,2022-10-21,DEN,128,GSW,123,240,46,86,0.535,15,34,0.441,21,25,0.84,12,29,41,30,10,2,20,22,128,,0.66,0.622,0.395,0.291,30.0,80.6,53.9,65.2,9.5,4.5,17.1,100,121.7,116.9,42,88,0.477,15,44,0.341,24,27,0.889,7,28,35,34,10,3,19,23,123,,0.616,0.563,0.5,0.307,19.4,70.0,46.1,81.0,9.5,5.8,16.0,100,116.4,121.1,True
2023,2022-10-21,DET,106,NYK,130,240,39,90,0.433,9,36,0.25,19,32,0.594,13,36,49,26,6,2,15,21,106,,0.509,0.483,0.4,0.356,25.0,76.6,49.5,66.7,5.8,3.5,12.6,100,101.6,124.6,50,95,0.526,16,38,0.421,14,22,0.636,11,39,50,29,4,6,12,26,130,,0.621,0.611,0.4,0.232,23.4,75.0,50.5,58.0,3.8,11.1,10.3,100,124.6,101.6,False
2023,2022-10-21,NYK,130,DET,106,240,50,95,0.526,16,38,0.421,14,22,0.636,11,39,50,29,4,6,12,26,130,,0.621,0.611,0.4,0.232,23.4,75.0,50.5,58.0,3.8,11.1,10.3,100,124.6,101.6,39,90,0.433,9,36,0.25,19,32,0.594,13,36,49,26,6,2,15,21,106,,0.509,0.483,0.4,0.356,25.0,76.6,49.5,66.7,5.8,3.5,12.6,100,101.6,124.6,True
2023,2022-10-21,CHO,112,NOP,124,240,44,97,0.454,13,34,0.382,11,14,0.786,11,26,37,30,9,4,14,24,112,,0.543,0.521,0.351,0.144,22.4,63.4,41.1,68.2,8.8,6.0,11.9,100,109.7,121.4,42,89,0.472,8,22,0.364,32,37,0.865,15,38,53,23,9,7,16,14,124,,0.589,0.517,0.247,0.416,36.6,77.6,58.9,54.8,8.8,11.1,13.2,100,121.4,109.7,False
2023,2022-10-21,CHI,100,WAS,102,240,33,79,0.418,7,27,0.259,27,33,0.818,10,28,38,19,8,3,13,15,100,,0.535,0.462,0.342,0.418,22.7,84.8,49.4,57.6,8.5,5.6,12.2,100,106.3,108.5,41,80,0.513,10,26,0.385,10,11,0.909,5,34,39,26,8,8,17,22,102,,0.601,0.575,0.325,0.138,15.2,77.3,50.6,63.4,8.5,15.4,16.7,100,107.9,105.8,False
2023,2022-10-21,BOS,111,MIA,104,240,41,79,0.519,14,33,0.424,15,15,1.0,12,31,43,17,4,11,20,23,111,,0.648,0.608,0.418,0.19,32.4,73.8,54.4,41.5,4.3,16.7,18.9,100,120.1,112.6,42,92,0.457,8,26,0.308,12,15,0.8,11,25,36,23,8,3,10,18,104,,0.527,0.5,0.283,0.163,26.2,67.6,45.6,54.8,8.7,6.5,9.2,100,112.6,120.1,True
2023,2022-10-21,MIA,104,BOS,111,240,42,92,0.457,8,26,0.308,12,15,0.8,11,25,36,23,8,3,10,18,104,,0.527,0.5,0.283,0.163,26.2,67.6,45.6,54.8,8.7,6.5,9.2,100,112.6,120.1,41,79,0.519,14,33,0.424,15,15,1.0,12,31,43,17,4,11,20,23,111,,0.648,0.608,0.418,0.19,32.4,73.8,54.4,41.5,4.3,16.7,18.9,100,120.1,112.6,False
2023,2022-10-22,HOU,105,MIL,125,240,36,93,0.387,16,37,0.432,17,22,0.773,15,32,47,20,9,6,14,22,105,,0.511,0.473,0.398,0.237,27.8,80.0,50.0,55.6,9.0,11.1,12.0,100,104.8,124.8,48,85,0.565,16,31,0.516,13,21,0.619,8,39,47,29,6,10,16,22,125,,0.663,0.659,0.365,0.247,20.0,72.2,50.0,60.4,6.1,17.9,14.5,100,126.0,105.9,False
2023,2022-10-22,CLE,128,CHI,96,240,48,85,0.565,16,27,0.593,16,18,0.889,8,40,48,32,4,5,18,17,128,,0.689,0.659,0.318,0.212,24.2,80.0,57.8,66.7,4.1,9.1,16.2,100,132.0,99.0,34,84,0.405,7,29,0.241,21,25,0.84,10,25,35,19,12,7,10,19,96,,0.505,0.446,0.345,0.298,20.0,75.8,42.2,55.9,12.4,12.1,9.5,100,99.5,132.7,True
2023,2022-10-22,SAS,114,PHI,105,240,43,89,0.483,16,38,0.421,12,15,0.8,12,31,43,27,5,7,14,20,114,,0.596,0.573,0.427,0.169,30.0,72.1,51.8,62.8,5.3,13.2,12.8,100,121.7,112.1,37,84,0.44,10,31,0.323,21,28,0.75,12,28,40,26,6,5,12,15,105,,0.545,0.5,0.369,0.333,27.9,70.0,48.2,70.3,6.4,9.8,11.1,100,112.1,121.7,True
2023,2022-10-22,OKC,117,DEN,122,240,42,94,0.447,15,38,0.395,18,23,0.783,10,37,47,29,10,5,13,27,117,,0.562,0.527,0.404,0.245,21.3,80.4,50.5,69.0,9.5,10.6,11.1,100,111.0,115.8,42,85,0.494,20,38,0.526,18,31,0.581,9,37,46,33,5,6,18,21,122,,0.618,0.612,0.447,0.365,19.6,78.7,49.5,78.6,4.8,10.7,15.4,100,116.3,111.6,False
